subscription_id,user_id,plan_type,start_date,end_date,status
sub_00000001,user_000001,free,2024-06-15,,active
sub_00000002,user_000002,free,2025-11-28,,active
sub_00000003,user_000003,free,2025-07-09,,active
sub_00000004,user_000004,free,2025-02-02,,active
sub_00000005,user_000005,pro,2025-09-24,,active
sub_00000006,user_000006,free,2024-10-08,,active
sub_00000007,user_000007,pro,2025-10-05,,active
sub_00000008,user_000008,free,2025-11-08,,active
sub_00000009,user_000009,free,2024-07-31,,active
sub_00000010,user_000009,pro,2024-09-01,,active
sub_00000011,user_000010,free,2024-10-18,,active
sub_00000012,user_000010,pro,2024-12-30,,active
sub_00000013,user_000011,free,2025-01-25,,active
sub_00000014,user_000012,pro,2024-12-26,,active
sub_00000015,user_000012,enterprise,2025-04-26,,active
sub_00000016,user_000013,pro,2025-09-02,,active
sub_00000017,user_000014,free,2025-02-08,,active
sub_00000018,user_000015,pro,2025-12-14,,active
sub_00000019,user_000016,free,2025-12-05,,active
sub_00000020,user_000017,free,2025-03-03,,active
sub_00000021,user_000018,free,2025-12-30,,active
sub_00000022,user_000019,pro,2025-08-28,,active
sub_00000023,user_000020,free,2025-12-29,,active
sub_00000024,user_000021,free,2025-10-02,,active
sub_00000025,user_000022,free,2024-10-30,,active
sub_00000026,user_000023,pro,2025-03-04,,active
sub_00000027,user_000024,pro,2025-03-26,,active
sub_00000028,user_000025,pro,2025-07-24,,active
sub_00000029,user_000026,pro,2024-05-31,,active
sub_00000030,user_000027,pro,2024-08-21,,active
sub_00000031,user_000028,pro,2024-09-07,,active
sub_00000032,user_000029,free,2025-07-28,,active
sub_00000033,user_000030,pro,2025-07-24,,active
sub_00000034,user_000031,pro,2025-09-06,,active
sub_00000035,user_000032,free,2025-04-18,,active
sub_00000036,user_000033,free,2025-08-30,,active
sub_00000037,user_000034,free,2025-02-15,,active
sub_00000038,user_000035,pro,2025-08-06,,active
sub_00000039,user_000036,free,2024-10-14,,active
sub_00000040,user_000037,enterprise,2025-09-15,,active
sub_00000041,user_000038,free,2025-11-18,,active
sub_00000042,user_000039,free,2025-03-13,,active
sub_00000043,user_000039,pro,2025-07-28,,active
sub_00000044,user_000040,free,2025-07-28,,active
sub_00000045,user_000041,enterprise,2025-12-09,,active
sub_00000046,user_000042,free,2025-05-21,,active
sub_00000047,user_000043,free,2025-10-24,,active
sub_00000048,user_000044,enterprise,2025-07-31,,active
sub_00000049,user_000045,pro,2025-08-09,,active
sub_00000050,user_000046,pro,2025-07-08,,active
sub_00000051,user_000047,free,2025-01-07,,active
sub_00000052,user_000048,free,2025-11-27,,active
sub_00000053,user_000049,free,2025-08-11,,active
sub_00000054,user_000049,pro,2025-12-08,,active
sub_00000055,user_000050,free,2025-02-15,,active
sub_00000056,user_000051,free,2025-10-13,,active
sub_00000057,user_000052,free,2024-09-13,,active
sub_00000058,user_000053,pro,2025-11-24,,active
sub_00000059,user_000054,enterprise,2025-08-22,,active
sub_00000060,user_000055,pro,2025-03-26,,active
sub_00000061,user_000056,free,2024-10-25,,active
sub_00000062,user_000057,free,2025-01-21,,active
sub_00000063,user_000058,free,2025-11-13,,active
sub_00000064,user_000059,free,2025-10-19,,active
sub_00000065,user_000060,free,2025-06-03,,active
sub_00000066,user_000061,enterprise,2025-07-26,,active
sub_00000067,user_000062,pro,2025-03-31,,active
sub_00000068,user_000063,free,2025-01-26,,active
sub_00000069,user_000063,enterprise,2025-03-21,,active
sub_00000070,user_000064,pro,2025-05-24,,active
sub_00000071,user_000065,enterprise,2025-12-24,,active
sub_00000072,user_000066,pro,2025-04-14,,active
sub_00000073,user_000066,free,2025-10-10,,active
sub_00000074,user_000067,enterprise,2025-03-06,,active
sub_00000075,user_000068,enterprise,2025-02-04,,active
sub_00000076,user_000069,free,2025-02-07,,active
sub_00000077,user_000070,free,2025-12-21,,active
sub_00000078,user_000071,enterprise,2025-07-22,,active
sub_00000079,user_000072,free,2025-12-19,,active
sub_00000080,user_000073,free,2025-04-04,,active
sub_00000081,user_000074,pro,2025-02-26,,active
sub_00000082,user_000074,enterprise,2025-05-08,,active
sub_00000083,user_000075,pro,2025-10-01,,active
sub_00000084,user_000076,free,2025-09-11,,active
sub_00000085,user_000077,free,2025-03-27,,active
sub_00000086,user_000078,free,2024-11-16,,active
sub_00000087,user_000079,pro,2025-08-24,,active
sub_00000088,user_000079,enterprise,2025-11-19,,active
sub_00000089,user_000080,free,2025-06-04,,active
sub_00000090,user_000081,free,2025-01-28,,active
sub_00000091,user_000081,pro,2025-06-15,,active
sub_00000092,user_000082,free,2024-09-29,,active
sub_00000093,user_000083,pro,2025-10-13,,active
sub_00000094,user_000084,free,2025-02-19,,active
sub_00000095,user_000085,free,2025-08-29,,active
sub_00000096,user_000086,free,2025-09-08,,active
sub_00000097,user_000087,free,2025-06-02,,active
sub_00000098,user_000088,pro,2025-02-22,,active
sub_00000099,user_000089,free,2025-12-27,,active
sub_00000100,user_000090,free,2025-10-01,,active
sub_00000101,user_000091,pro,2025-10-10,,active
sub_00000102,user_000092,free,2025-10-18,,active
sub_00000103,user_000093,free,2025-03-18,,active
sub_00000104,user_000094,free,2025-02-10,,active
sub_00000105,user_000094,pro,2025-05-31,,active
sub_00000106,user_000095,free,2025-07-25,,active
sub_00000107,user_000096,pro,2025-08-11,,active
sub_00000108,user_000097,free,2024-04-03,,active
sub_00000109,user_000098,enterprise,2025-05-30,,active
sub_00000110,user_000099,free,2025-02-01,,active
sub_00000111,user_000099,pro,2025-07-23,,active
sub_00000112,user_000100,free,2025-05-23,,active
sub_00000113,user_000101,free,2024-06-21,,active
sub_00000114,user_000102,free,2024-11-24,,active
sub_00000115,user_000103,pro,2025-04-11,,active
sub_00000116,user_000104,free,2025-02-24,,active
sub_00000117,user_000105,pro,2025-04-24,,active
sub_00000118,user_000106,free,2025-12-16,,active
sub_00000119,user_000107,free,2025-09-13,,active
sub_00000120,user_000108,free,2024-12-23,,active
sub_00000121,user_000109,free,2025-12-20,,active
sub_00000122,user_000110,free,2025-12-18,,active
sub_00000123,user_000111,free,2025-08-28,,active
sub_00000124,user_000111,pro,2025-12-01,,active
sub_00000125,user_000112,enterprise,2024-11-09,,active
sub_00000126,user_000112,free,2025-02-01,,active
sub_00000127,user_000113,free,2025-05-05,,active
sub_00000128,user_000114,enterprise,2024-10-23,,active
sub_00000129,user_000114,free,2025-02-20,,active
sub_00000130,user_000115,pro,2025-06-07,,active
sub_00000131,user_000116,pro,2025-07-23,,active
sub_00000132,user_000117,pro,2025-11-15,,active
sub_00000133,user_000118,free,2025-06-21,,active
sub_00000134,user_000119,free,2025-01-04,,active
sub_00000135,user_000120,free,2025-09-25,,active
sub_00000136,user_000121,free,2025-10-02,,active
sub_00000137,user_000121,pro,2025-12-18,,active
sub_00000138,user_000122,pro,2025-07-03,,active
sub_00000139,user_000123,free,2025-03-30,,active
sub_00000140,user_000124,free,2025-10-11,,active
sub_00000141,user_000125,free,2024-11-09,,active
sub_00000142,user_000126,free,2025-01-06,,active
sub_00000143,user_000126,pro,2025-02-12,,active
sub_00000144,user_000127,free,2025-07-17,,active
sub_00000145,user_000128,free,2025-01-02,,active
sub_00000146,user_000128,pro,2025-02-28,,active
sub_00000147,user_000129,pro,2025-07-30,,active
sub_00000148,user_000130,free,2025-11-22,,active
sub_00000149,user_000131,pro,2024-08-10,,active
sub_00000150,user_000132,free,2024-09-14,,active
sub_00000151,user_000132,pro,2025-01-27,,active
sub_00000152,user_000133,enterprise,2025-03-29,,active
sub_00000153,user_000134,free,2025-10-26,,active
sub_00000154,user_000135,enterprise,2025-11-18,,active
sub_00000155,user_000136,pro,2025-10-09,,active
sub_00000156,user_000137,free,2024-12-14,,active
sub_00000157,user_000138,free,2025-08-15,,active
sub_00000158,user_000139,free,2025-06-16,,active
sub_00000159,user_000140,pro,2025-09-10,,active
sub_00000160,user_000141,pro,2025-12-03,,active
sub_00000161,user_000142,free,2025-10-12,,active
sub_00000162,user_000142,enterprise,2025-12-11,,active
sub_00000163,user_000143,pro,2025-09-24,,active
sub_00000164,user_000144,free,2024-07-20,,active
sub_00000165,user_000145,pro,2025-12-19,,active
sub_00000166,user_000146,free,2025-09-14,,active
sub_00000167,user_000147,pro,2025-09-07,,active
sub_00000168,user_000147,enterprise,2025-12-05,,active
sub_00000169,user_000148,free,2025-07-03,,active
sub_00000170,user_000149,free,2025-11-17,,active
sub_00000171,user_000150,pro,2025-11-03,,active
sub_00000172,user_000151,free,2025-12-22,,active
sub_00000173,user_000152,free,2025-07-25,,active
sub_00000174,user_000153,pro,2025-08-28,,active
sub_00000175,user_000154,pro,2025-06-08,,active
sub_00000176,user_000155,free,2025-02-16,,active
sub_00000177,user_000156,pro,2025-12-28,,active
sub_00000178,user_000157,enterprise,2025-07-06,,active
sub_00000179,user_000158,free,2025-12-25,,active
sub_00000180,user_000159,enterprise,2025-07-10,,active
sub_00000181,user_000160,pro,2025-05-28,,active
sub_00000182,user_000161,free,2025-03-26,,active
sub_00000183,user_000162,free,2025-07-23,,active
sub_00000184,user_000163,free,2025-04-08,,active
sub_00000185,user_000163,pro,2025-09-19,,active
sub_00000186,user_000164,free,2025-10-21,,active
sub_00000187,user_000165,pro,2025-05-13,,active
sub_00000188,user_000166,free,2024-07-14,,active
sub_00000189,user_000167,pro,2025-06-09,,active
sub_00000190,user_000168,free,2025-09-08,,active
sub_00000191,user_000169,free,2025-09-22,,active
sub_00000192,user_000169,pro,2025-12-15,,active
sub_00000193,user_000170,pro,2025-05-10,,active
sub_00000194,user_000171,free,2024-07-11,,active
sub_00000195,user_000171,pro,2024-12-01,,active
sub_00000196,user_000172,pro,2025-10-11,,active
sub_00000197,user_000173,pro,2025-06-11,,active
