user_id,signup_date,user_segment,initial_plan,acquisition_channel,country
user_000001,2024-06-15,student,free,organic,France
user_000002,2025-11-28,student,free,paid_ad,USA
user_000003,2025-07-09,developer,free,organic,Germany
user_000004,2025-02-02,content_creator,free,referral,USA
user_000005,2025-09-24,business,pro,organic,Other
user_000006,2024-10-08,content_creator,free,referral,Germany
user_000007,2025-10-05,business,pro,partnership,UK
user_000008,2025-11-08,student,free,social_media,Germany
user_000009,2024-07-31,student,free,organic,USA
user_000010,2024-10-18,developer,free,paid_ad,UK
user_000011,2025-01-25,content_creator,free,social_media,Germany
user_000012,2024-12-26,student,pro,organic,UK
user_000013,2025-09-02,business,pro,social_media,Australia
user_000014,2025-02-08,student,free,organic,USA
user_000015,2025-12-14,developer,pro,organic,Canada
user_000016,2025-12-05,content_creator,free,organic,USA
user_000017,2025-03-03,student,free,social_media,UK
user_000018,2025-12-30,developer,free,organic,USA
user_000019,2025-08-28,developer,pro,paid_ad,USA
user_000020,2025-12-29,content_creator,free,partnership,Australia
user_000021,2025-10-02,developer,free,paid_ad,USA
user_000022,2024-10-30,student,free,paid_ad,Other
user_000023,2025-03-04,business,pro,organic,Other
user_000024,2025-03-26,business,pro,social_media,USA
user_000025,2025-07-24,student,pro,paid_ad,USA
user_000026,2024-05-31,content_creator,pro,social_media,Australia
user_000027,2024-08-21,content_creator,pro,social_media,USA
user_000028,2024-09-07,content_creator,pro,referral,USA
user_000029,2025-07-28,content_creator,free,social_media,UK
user_000030,2025-07-24,developer,pro,organic,USA
user_000031,2025-09-06,business,pro,referral,USA
user_000032,2025-04-18,developer,free,organic,USA
user_000033,2025-08-30,developer,free,social_media,Australia
user_000034,2025-02-15,developer,free,organic,USA
user_000035,2025-08-06,business,pro,partnership,Japan
user_000036,2024-10-14,developer,free,paid_ad,India
user_000037,2025-09-15,student,enterprise,organic,UK
user_000038,2025-11-18,content_creator,free,organic,UK
user_000039,2025-03-13,content_creator,free,social_media,UK
user_000040,2025-07-28,business,free,partnership,Australia
